index1,firebase_event_origin_x,firebase_event_origin_y,ga_session_id,engaged_session_event,session_engaged,ga_session_number,firebase_screen_id,firebase_screen_class,engagement_time_msec,entrances,freeride,firebase_previous_id,firebase_previous_class,item_subcategory,recommended,item_category,item_name,item_number,item_id,debug_event,previous_os_version,campaign_info_source,medium,source,system_app,system_app_update,update_with_analytics,firebase_conversion,previous_first_open_count,search_term,search_book,search_type,search_subcategory,search_category,previous_app_version,timestamp,timestamp_double
9954,auto,auto,1604800893,1,,170,-8117814686556733243,MDCBottomSheetController,,,,-8117814686556733244,HymnViewController,,,,,,,,,,,,,,,,,,,,,,,,
9955,auto,auto,1604800893,1,,170,-8117814686556733244,HymnViewController,,,,-8117814686556733243,MDCBottomSheetController,,,,,,,,,,,,,,,,,,,,,,,,
9956,auto,auto,1604800893,1,,170,-8117814686556733244,HymnViewController,2441,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9957,auto,auto,1604800893,1,,170,-8117814686556733248,HymnListViewController,6391,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9958,auto,auto,1604800893,1,,170,-8117814686556733240,SongbookAlertController,,,,-8117814686556733242,HymnViewController,,,,,,,,,,,,,,,,,,,,,,,,
9959,auto,auto,1604800893,1,,170,-8117814686556733242,HymnViewController,,,,-8117814686556733240,SongbookAlertController,,,,,,,,,,,,,,,,,,,,,,,,
9960,auto,auto,1604800893,1,,170,-8117814686556733242,HymnViewController,1367,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9961,auto,auto,1604800893,1,,170,-8117814686556733242,HymnViewController,35804,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9962,auto,auto,1604800893,1,,170,-8117814686556733242,HymnViewController,2659,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9963,auto,auto,1604800893,1,,170,-8117814686556733248,HymnListViewController,,,,-8117814686556733242,HymnViewController,,,,,,,,,,,,,,,,,,,,,,,,
9964,app,app,1604800893,1,,170,-8117814686556733248,HymnListViewController,,,,,,,,,,,,,,,,,,,,,,26,All,numerical,All,All,,,
9965,auto,auto,1604800893,1,,170,-8117814686556733239,HymnViewController,66871,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9966,auto,auto,1604763306,1,,169,2258457914112804675,HymnListViewController,,,,2258457914112804674,CenterViewController,,,,,,,,,,,,,,,,,,,,,,,,
9967,auto,auto,1604800893,1,,170,-3258184498482903684,HymnListViewController,,,,-3258184498482903685,CenterViewController,,,,,,,,,,,,,,,,,,,,,,,,
9968,auto,auto,1604800893,1,,170,-3258184498482903684,HymnListViewController,4474,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9969,auto,auto,1604800893,1,,170,-3258184498482903683,HymnViewController,810,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9970,auto,auto,1604800893,1,,170,-8117814686556733248,HymnListViewController,,,,-8117814686556733247,HymnViewController,,,,,,,,,,,,,,,,,,,,,,,,
9971,auto,auto,1604800893,1,,170,-8117814686556733248,HymnListViewController,3472,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9972,auto,auto,1604800893,1,,170,-8117814686556733246,HymnViewController,324983,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9973,auto,auto,1604800893,1,,170,-8117814686556733244,HymnViewController,200893,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9974,auto,auto,1604800893,1,,170,-8117814686556733242,HymnViewController,,,,-8117814686556733241,MDCBottomSheetController,,,,,,,,,,,,,,,,,,,,,,,,
9975,auto,auto,1604800893,1,,170,-8117814686556733242,HymnViewController,1234,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9976,auto,auto,1604800893,1,,170,-8117814686556733241,MDCBottomSheetController,3863,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9977,auto,auto,1604800893,1,,170,-8117814686556733242,HymnViewController,,,,-8117814686556733241,MDCBottomSheetController,,,,,,,,,,,,,,,,,,,,,,,,
9978,auto,auto,1604800893,1,,170,-8117814686556733242,HymnViewController,51363,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9979,auto,auto,1604800893,1,,170,-8117814686556733242,HymnViewController,9949,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9980,auto,auto,1604800893,1,,170,-8117814686556733239,HymnViewController,153594,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9981,auto,auto,1604800893,1,,170,-8117814686556733239,HymnViewController,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9982,app,app,1604800893,1,,170,-3258184498482903684,HymnListViewController,,,,,,,,,,,,,,,,,,,,,,how sweet the n,History,alphabetical,All,All,,,
9983,auto,auto,1604800893,1,,170,-3258184498482903683,HymnViewController,413,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9984,auto,auto,1604800893,1,,170,-8117814686556733248,HymnListViewController,,,,-8117814686556733246,HymnViewController,,,,,,,,,,,,,,,,,,,,,,,,
9985,auto,auto,1604800893,1,,170,-8117814686556733248,HymnListViewController,,,,-8117814686556733245,HymnViewController,,,,,,,,,,,,,,,,,,,,,,,,
9986,auto,auto,1604800893,1,,170,-8117814686556733244,HymnViewController,,,,-8117814686556733248,HymnListViewController,,,,,,,,,,,,,,,,,,,,,,,,
9987,auto,auto,1604800893,1,,170,-8117814686556733244,HymnViewController,8946,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9988,auto,auto,1604800893,1,,170,-8117814686556733242,HymnViewController,,,,-8117814686556733248,HymnListViewController,,,,,,,,,,,,,,,,,,,,,,,,
9989,auto,auto,1604800893,1,,170,-8117814686556733241,MDCBottomSheetController,,,,-8117814686556733242,HymnViewController,,,,,,,,,,,,,,,,,,,,,,,,
9990,auto,auto,1604800893,1,,170,-8117814686556733241,MDCBottomSheetController,,,,-8117814686556733242,HymnViewController,,,,,,,,,,,,,,,,,,,,,,,,
9991,auto,auto,1604800893,1,,170,-8117814686556733239,HymnViewController,,,,-8117814686556733248,HymnListViewController,,,,,,,,,,,,,,,,,,,,,,,,
9992,app,app,1604772352,1,,354,5053039204610259536,HymnListViewController,,,,,,,,,,,,,,,,,,,,,,hallelu halle,All,alphabetical,,,,,
9993,auto,auto,1604772352,1,,354,5053039204610259536,HymnListViewController,,,,5053039204610259539,HymnViewController,,,,,,,,,,,,,,,,,,,,,,,,
9994,auto,auto,1604772352,1,,354,5053039204610259536,HymnListViewController,1192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9995,auto,auto,1604772352,1,,354,5053039204610259540,HymnViewController,4756,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9996,auto,auto,1604772352,1,,354,5053039204610259537,HymnViewController,,,,5053039204610259536,HymnListViewController,,,,,,,,,,,,,,,,,,,,,,,,
9997,auto,auto,1604772352,1,,354,5053039204610259537,HymnViewController,6095,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9998,auto,auto,1604772352,1,,354,5053039204610259539,HymnViewController,2911,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9999,auto,auto,1604772352,1,,354,5053039204610259535,CenterViewController,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000,auto,auto,1604772352,1,,354,5053039204610259536,HymnListViewController,26794,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10001,auto,auto,1604772352,1,,354,5053039204610259536,HymnListViewController,14324,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10002,auto,auto,1604772352,1,,354,5053039204610259538,HymnViewController,,,,5053039204610259536,HymnListViewController,,,,,,,,,,,,,,,,,,,,,,,,
10003,auto,auto,1604772352,1,,354,5053039204610259540,HymnViewController,,,,5053039204610259536,HymnListViewController,,,,,,,,,,,,,,,,,,,,,,,,
10004,app,app,1604772352,1,,354,5053039204610259536,HymnListViewController,,,,,,,,,,,,,,,,,,,,,,praise ye the lord,All,alphabetical,,,,,
10005,auto,auto,1604772352,1,,354,5053039204610259536,HymnListViewController,,,,5053039204610259535,CenterViewController,,,,,,,,,,,,,,,,,,,,,,,,
10006,auto,auto,1604772352,1,,354,5053039204610259536,HymnListViewController,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10007,auto,auto,1604772352,1,,354,5053039204610259536,HymnListViewController,,,,5053039204610259540,HymnViewController,,,,,,,,,,,,,,,,,,,,,,,,
10008,auto,auto,1604772352,1,,354,5053039204610259536,HymnListViewController,2491,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10009,auto,auto,1604772352,1,,354,5053039204610259536,HymnListViewController,,,,5053039204610259537,HymnViewController,,,,,,,,,,,,,,,,,,,,,,,,
10010,app,app,1604772352,1,,354,5053039204610259536,HymnListViewController,,,,,,,,,,,,,,,,,,,,,,praise ye the lord,All,alphabetical,,,,,
10011,auto,auto,1604772352,1,,354,5053039204610259538,HymnViewController,2239,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10012,auto,auto,1604772352,1,,354,5053039204610259539,HymnViewController,,,,5053039204610259536,HymnListViewController,,,,,,,,,,,,,,,,,,,,,,,,
10013,auto,auto,1604772352,1,1,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10014,app,app,1604772352,1,,354,5053039204610259536,HymnListViewController,,,,,,,,,,,,,,,,,,,,,,hallelu halle,All,alphabetical,,,,,
10015,auto,auto,1604772352,1,,354,5053039204610259536,HymnListViewController,,,,5053039204610259538,HymnViewController,,,,,,,,,,,,,,,,,,,,,,,,
10016,auto,auto,1604801171,1,,46,-1891188402830096415,HymnListViewController,2106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10017,auto,auto,1604801171,1,,46,-1891188402830096413,HymnViewController,,,,-1891188402830096415,HymnListViewController,,,,,,,,,,,,,,,,,,,,,,,,
10018,auto,auto,1604801171,1,,46,-1891188402830096415,HymnListViewController,,,,-1891188402830096412,HymnViewController,,,,,,,,,,,,,,,,,,,,,,,,
10019,auto,auto,1604801171,1,,46,-1891188402830096415,HymnListViewController,4342,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10020,auto,auto,1604801171,1,,46,-1891188402830096411,HymnViewController,,,,-1891188402830096408,UIAlertController,,,,,,,,,,,,,,,,,,,,,,,,
10021,auto,auto,1604801171,1,,46,-1891188402830096415,HymnListViewController,,,,-1891188402830096416,CenterViewController,,,,,,,,,,,,,,,,,,,,,,,,
10022,auto,auto,1604801171,1,,46,-1891188402830096415,HymnListViewController,,,,-1891188402830096414,UIAlertController,,,,,,,,,,,,,,,,,,,,,,,,
10023,auto,auto,1604801171,1,,46,-1891188402830096413,HymnViewController,1880,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10024,auto,auto,1604801171,1,,46,-1891188402830096412,HymnViewController,,,,-1891188402830096415,HymnListViewController,,,,,,,,,,,,,,,,,,,,,,,,
10025,auto,auto,1604801171,1,,46,-1891188402830096412,HymnViewController,1771,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10026,app,app,1604801171,1,,46,-1891188402830096415,HymnListViewController,,,,,,,,,,,,,,,,,,,,,,1110,All,numerical,,,,,
10027,auto,auto,1604801171,1,,46,-1891188402830096411,HymnViewController,39873,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10028,auto,auto,1604801171,1,,46,-1891188402830096410,MDCBottomSheetController,1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10029,auto,auto,1604801171,1,,46,-1891188402830096415,HymnListViewController,5001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10030,auto,auto,1604801171,1,,46,-1891188402830096407,HymnViewController,,,,-1891188402830096415,HymnListViewController,,,,,,,,,,,,,,,,,,,,,,,,
10031,auto,auto,1604801171,1,,46,-1891188402830096407,HymnViewController,229532,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10032,app,app,1604801171,1,,46,-1891188402830096415,HymnListViewController,,,,,,,,,,,,,,,,,,,,,,66,All,numerical,,,,,
10033,auto,auto,1604801171,1,,46,-1891188402830096413,HymnViewController,88818,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10034,auto,auto,1604801171,1,,46,-1891188402830096415,HymnListViewController,,,,-1891188402830096413,HymnViewController,,,,,,,,,,,,,,,,,,,,,,,,
10035,auto,auto,1604801171,1,,46,-1891188402830096412,HymnViewController,258492,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10036,auto,auto,1604801171,1,,46,-1891188402830096410,MDCBottomSheetController,,,,-1891188402830096411,HymnViewController,,,,,,,,,,,,,,,,,,,,,,,,
10037,auto,auto,1604801171,1,,46,-1891188402830096409,SongbookAlertController,,,,-1891188402830096411,HymnViewController,,,,,,,,,,,,,,,,,,,,,,,,
10038,auto,auto,1604801171,1,,46,-1891188402830096409,SongbookAlertController,2098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10039,auto,auto,1604801171,1,,46,-1891188402830096411,HymnViewController,1724,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10040,auto,auto,1604801171,1,,46,-1891188402830096407,HymnViewController,27447,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10041,auto,auto,1604801171,1,1,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10042,app,app,1604801171,1,,46,-1891188402830096415,HymnListViewController,,,,,,,,,,,,,,,,,,,,,,839,All,numerical,,,,,
10043,auto,auto,1604801171,1,,46,-1891188402830096411,HymnViewController,,,,-1891188402830096415,HymnListViewController,,,,,,,,,,,,,,,,,,,,,,,,
10044,auto,auto,1604801171,1,,46,-1891188402830096411,HymnViewController,,,,-1891188402830096409,SongbookAlertController,,,,,,,,,,,,,,,,,,,,,,,,
10045,auto,auto,1604801171,1,,46,-1891188402830096408,UIAlertController,,,,-1891188402830096411,HymnViewController,,,,,,,,,,,,,,,,,,,,,,,,
10046,auto,auto,1604801171,1,,46,-1891188402830096414,UIAlertController,,,,-1891188402830096415,HymnListViewController,,,,,,,,,,,,,,,,,,,,,,,,
10047,auto,auto,1604801171,1,,46,-1891188402830096414,UIAlertController,1279,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10048,auto,auto,1604801171,1,,46,-1891188402830096415,HymnListViewController,4230,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10049,auto,auto,1604801171,1,,46,-1891188402830096415,HymnListViewController,,,,-1891188402830096411,HymnViewController,,,,,,,,,,,,,,,,,,,,,,,,
10050,auto,auto,1604801171,1,,46,-1891188402830096416,CenterViewController,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,auto,auto,1604801171,1,,46,-1891188402830096415,HymnListViewController,2529,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10052,auto,auto,1604801171,1,,46,-1891188402830096411,HymnViewController,,,,-1891188402830096410,MDCBottomSheetController,,,,,,,,,,,,,,,,,,,,,,,,
10053,auto,auto,1604801171,1,,46,-1891188402830096408,UIAlertController,2802,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10054,auto,auto,1604801171,1,,46,-1891188402830096411,HymnViewController,402,,,,,,,,,,,,,,,,,,,,,,,,,,,,
